SKU_ID,SKU_Name,Category,Sub_Category,Brand,Tax_Percent,Unit_Cost,MRP
SKU00001,Snackify Biscuits 500g,Snacks,Biscuits,Snackify,12,55.38,99
SKU00002,FreshCo Paneer 250g,Dairy,Paneer,FreshCo,5,43.66,59.06
SKU00003,DailyDairy Edible Oil 500g,Groceries,Edible Oil,DailyDairy,5,76.77,105.78
SKU00004,Snackify Butter 1kg,Dairy,Butter,Snackify,5,144.24,259.33
SKU00005,BabyBloom Detergent 750ml,Home Care,Detergent,BabyBloom,18,112.73,175.81
SKU00006,FreshCo Edible Oil 1L,Groceries,Edible Oil,FreshCo,5,106.31,183.27
SKU00007,HealthHub Edible Oil 750ml,Groceries,Edible Oil,HealthHub,5,64.06,92.95
SKU00008,Nestora Atta 2L,Groceries,Atta,Nestora,5,109.6,154.48
SKU00009,Snackify Toothpaste 200ml,Personal Care,Toothpaste,Snackify,18,83.27,144.16
SKU00010,CleanPro Paneer 2L,Dairy,Paneer,CleanPro,5,203.4,277.37
SKU00011,HealthHub Shampoo Combo,Personal Care,Shampoo,HealthHub,18,84.96,118.6
SKU00012,FreshCo Floor Cleaner 2L,Home Care,Floor Cleaner,FreshCo,18,74.35,108
SKU00013,Nestora Paneer Combo,Dairy,Paneer,Nestora,5,26.31,37.74
SKU00014,BabyBloom Freshener 750ml,Home Care,Freshener,BabyBloom,18,146.87,197.04
SKU00015,HealthHub Chocolate Pack,Snacks,Chocolate,HealthHub,12,57.39,80.88
SKU00016,DailyDairy Namkeen 200ml,Snacks,Namkeen,DailyDairy,12,22.59,30.39
SKU00017,HealthHub Detergent 100g,Home Care,Detergent,HealthHub,18,108.31,167.12
SKU00018,FrostBite Baby Food 100g,Baby Care,Baby Food,FrostBite,5,31.81,51.91
SKU00019,BabyBloom Milk 750ml,Dairy,Milk,BabyBloom,5,184.25,282.57
SKU00020,UrbanLeaf Toothpaste Pack,Personal Care,Toothpaste,UrbanLeaf,18,130.19,167.8
SKU00021,FreshCo Ice Cream 2L,Frozen,Ice Cream,FreshCo,18,67.8,106.76
SKU00022,AquaFizz Namkeen Combo,Snacks,Namkeen,AquaFizz,12,21.64,35.54
SKU00023,FrostBite Powder 1kg,Baby Care,Powder,FrostBite,5,20.18,27.19
SKU00024,FrostBite Cheese 1kg,Dairy,Cheese,FrostBite,5,91.57,138.86
SKU00025,HealthHub Pulses Pack,Groceries,Pulses,HealthHub,5,53.08,94.69
SKU00026,AquaFizz Soft Drink 500g,Beverages,Soft Drink,AquaFizz,12,82.04,139.87
SKU00027,UrbanLeaf Baby Food Combo,Baby Care,Baby Food,UrbanLeaf,5,90.58,135.94
SKU00028,Nestora Butter 1L,Dairy,Butter,Nestora,5,26.63,37.08
SKU00029,DailyDairy Coffee 750ml,Beverages,Coffee,DailyDairy,12,106.07,141.94
SKU00030,FreshCo Ready Meals 200ml,Frozen,Ready Meals,FreshCo,18,71.89,91.67
SKU00031,BabyBloom Baby Lotion 100g,Baby Care,Baby Lotion,BabyBloom,5,159.21,219.54
SKU00032,BabyBloom Skin Care 100g,Personal Care,Skin Care,BabyBloom,18,59.38,90.17
SKU00033,Snackify Frozen Snacks 1L,Frozen,Frozen Snacks,Snackify,18,18.73,28.55
SKU00034,UrbanLeaf Shampoo 200ml,Personal Care,Shampoo,UrbanLeaf,18,58.76,79.03
SKU00035,Nestora Dishwash Pack,Home Care,Dishwash,Nestora,18,40.46,60.69
SKU00036,CleanPro Toothpaste 500g,Personal Care,Toothpaste,CleanPro,18,62.34,93.05
SKU00037,BabyBloom Skin Care 250g,Personal Care,Skin Care,BabyBloom,18,32.41,54.94
SKU00038,BabyBloom Biscuits Combo,Snacks,Biscuits,BabyBloom,12,82.44,144.82
SKU00039,BabyBloom Spices 750ml,Groceries,Spices,BabyBloom,5,181.93,323.2
SKU00040,Snackify Ready Meals 1kg,Frozen,Ready Meals,Snackify,18,95.32,144.68
SKU00041,Nestora Baby Lotion 1L,Baby Care,Baby Lotion,Nestora,5,122.28,210.08
SKU00042,FrostBite Curd 200ml,Dairy,Curd,FrostBite,5,67.2,106.92
SKU00043,HealthHub Cheese 500g,Dairy,Cheese,HealthHub,5,20.55,26.84
SKU00044,HealthHub Milk 200ml,Dairy,Milk,HealthHub,5,100.51,129.67
SKU00045,HealthHub Cheese 500g,Dairy,Cheese,HealthHub,5,39.44,62.43
SKU00046,HealthHub Curd 750ml,Dairy,Curd,HealthHub,5,62.36,101.33
SKU00047,AquaFizz Toothpaste Combo,Personal Care,Toothpaste,AquaFizz,18,168.57,271.13
SKU00048,FreshCo Chocolate 1kg,Snacks,Chocolate,FreshCo,12,109.21,165.58
SKU00049,FrostBite Baby Lotion Pack,Baby Care,Baby Lotion,FrostBite,5,118.07,186.07
SKU00050,UrbanLeaf Tea 1kg,Beverages,Tea,UrbanLeaf,12,47.58,76.83
SKU00051,FrostBite Namkeen 200ml,Snacks,Namkeen,FrostBite,12,73.82,120.84
SKU00052,BabyBloom Atta 250g,Groceries,Atta,BabyBloom,5,60.51,80.43
SKU00053,Nestora Deodorant 2L,Personal Care,Deodorant,Nestora,18,55.15,83.38
SKU00054,CleanPro Tea 2L,Beverages,Tea,CleanPro,12,99,141.78
SKU00055,AquaFizz Biscuits 1L,Snacks,Biscuits,AquaFizz,12,26.46,40.11
SKU00056,HealthHub Biscuits 1L,Snacks,Biscuits,HealthHub,12,180.82,265.15
SKU00057,DailyDairy Freshener 1L,Home Care,Freshener,DailyDairy,18,85.1,109.79
SKU00058,Nestora Baby Food 500g,Baby Care,Baby Food,Nestora,5,210.53,354.63
SKU00059,CleanPro Soft Drink 1L,Beverages,Soft Drink,CleanPro,12,55.7,85.62
SKU00060,AquaFizz Chocolate 250g,Snacks,Chocolate,AquaFizz,12,147.41,255.18
SKU00061,FreshCo Curd 1L,Dairy,Curd,FreshCo,5,110.37,140.58
SKU00062,AquaFizz Wipes 1L,Baby Care,Wipes,AquaFizz,5,77.82,101.4
SKU00063,HealthHub Powder 500g,Baby Care,Powder,HealthHub,5,56.87,75.03
SKU00064,FreshCo Baby Food 1kg,Baby Care,Baby Food,FreshCo,5,58.47,101.07
SKU00065,FrostBite Frozen Veg 200ml,Frozen,Frozen Veg,FrostBite,18,41.83,63.95
SKU00066,FreshCo Frozen Snacks 750ml,Frozen,Frozen Snacks,FreshCo,18,72.83,121.1
SKU00067,FreshCo Baby Lotion 200ml,Baby Care,Baby Lotion,FreshCo,5,125.7,162.46
SKU00068,Nestora Soap 200ml,Personal Care,Soap,Nestora,18,139.88,232.25
SKU00069,HealthHub Wipes Combo,Baby Care,Wipes,HealthHub,5,92.41,119.45
SKU00070,UrbanLeaf Baby Food 2L,Baby Care,Baby Food,UrbanLeaf,5,49.61,86.85
SKU00071,Nestora Shampoo 1kg,Personal Care,Shampoo,Nestora,18,59.65,91.36
SKU00072,DailyDairy Skin Care 1L,Personal Care,Skin Care,DailyDairy,18,53.22,94.61
SKU00073,DailyDairy Pulses 100g,Groceries,Pulses,DailyDairy,5,88.09,140.88
SKU00074,AquaFizz Tissues 100g,Home Care,Tissues,AquaFizz,18,81.32,128.56
SKU00075,Nestora Frozen Veg 250g,Frozen,Frozen Veg,Nestora,18,28.73,38.55
SKU00076,BabyBloom Powder 750ml,Baby Care,Powder,BabyBloom,5,46.28,73.94
SKU00077,UrbanLeaf Deodorant 2L,Personal Care,Deodorant,UrbanLeaf,18,105.71,175.97
SKU00078,UrbanLeaf Spices Combo,Groceries,Spices,UrbanLeaf,5,30.86,48.93
SKU00079,UrbanLeaf Atta 200ml,Groceries,Atta,Unknown,5,53.45,87.08
SKU00080,FreshCo Powder 2L,Baby Care,Powder,FreshCo,5,63.52,110.29
SKU00081,BabyBloom Pulses 2L,Groceries,Pulses,BabyBloom,5,42.54,69.48
SKU00082,BabyBloom Diapers 500g,Baby Care,Diapers,BabyBloom,5,77.42,124.14
SKU00083,CleanPro Dishwash 500g,Home Care,Dishwash,CleanPro,18,20.32,31.3
SKU00084,FrostBite Paneer 2L,Dairy,Paneer,FrostBite,5,150.45,225.74
SKU00085,FrostBite Rice 250g,Groceries,Rice,FrostBite,5,210.17,345.1
SKU00086,FrostBite Floor Cleaner 2L,Home Care,Floor Cleaner,FrostBite,18,24.27,41.39
SKU00087,DailyDairy Powder 2L,Baby Care,Powder,DailyDairy,5,124.02,204.71
SKU00088,DailyDairy Energy Drink Pack,Beverages,Energy Drink,DailyDairy,12,39.27,51.25
SKU00089,FreshCo Skin Care 750ml,Personal Care,Skin Care,FreshCo,18,100.27,139.47
SKU00090,FreshCo Baby Food 1L,Baby Care,Baby Food,FreshCo,5,226.24,359.18
SKU00091,DailyDairy Ice Cream 100g,Frozen,Ice Cream,DailyDairy,18,104.41,163.09
SKU00092,AquaFizz Curd 200ml,Dairy,Curd,AquaFizz,5,152.18,267.03
SKU00093,FrostBite Coffee 1L,Beverages,Coffee,FrostBite,12,35.25,63.13
SKU00094,FrostBite Butter 200ml,Dairy,Butter,FrostBite,5,42.91,74.78
SKU00095,Snackify Dishwash 2L,Home Care,Dishwash,Snackify,18,72.08,114.12
SKU00096,Snackify Frozen Snacks 1L,Frozen,Frozen Snacks,Snackify,18,139.07,228.87
SKU00097,FreshCo Namkeen 250g,Snacks,Namkeen,FreshCo,12,139.63,239.71
SKU00098,BabyBloom Pulses Pack,Groceries,Pulses,BabyBloom,5,110.02,146.38
SKU00099,Snackify Diapers 250g,Baby Care,Diapers,Snackify,5,54.89,78.06
SKU00100,FreshCo Energy Drink 1kg,Beverages,Energy Drink,FreshCo,12,98.61,124.62
SKU00101,FreshCo Detergent 100g,Home Care,Detergent,FreshCo,18,82.87,132.03
SKU00102,UrbanLeaf Tea 100g,Beverages,Tea,UrbanLeaf,12,19.45,34.15
SKU00103,CleanPro Skin Care 750ml,Personal Care,Skin Care,CleanPro,18,64.2,80.42
SKU00104,BabyBloom Deodorant Combo,Personal Care,Deodorant,BabyBloom,18,154.39,203.71
SKU00105,FreshCo Baby Food 100g,Baby Care,Baby Food,FreshCo,5,91.81,124.87
SKU00106,Snackify Atta 1kg,Groceries,Atta,Snackify,5,44.98,75.5
SKU00107,FreshCo Tea 100g,Beverages,Tea,FreshCo,12,250.12,363.54
SKU00108,DailyDairy Paneer 1kg,Dairy,Paneer,DailyDairy,5,18.67,25.37
SKU00109,FrostBite Tea 500g,Beverages,Tea,FrostBite,12,115.23,167.64
SKU00110,Snackify Instant Noodles 100g,Snacks,Instant Noodles,Snackify,12,137.85,191.74
SKU00111,BabyBloom Shampoo 1L,Personal Care,Shampoo,BabyBloom,18,84.55,117.33
SKU00112,CleanPro Curd 500g,Dairy,Curd,CleanPro,5,26.5,41.37
SKU00113,CleanPro Soap 100g,Personal Care,Soap,CleanPro,18,28.57,46.25
SKU00114,FrostBite Floor Cleaner 2L,Home Care,Floor Cleaner,FrostBite,18,93.4,129.56
SKU00115,AquaFizz Toothpaste 500g,Personal Care,Toothpaste,AquaFizz,18,127.91,198.57
SKU00116,Nestora Tea 500g,Beverages,Tea,Nestora,12,33.5,42.42
SKU00117,FrostBite Tissues 1L,Home Care,Tissues,FrostBite,18,61.61,109.96
SKU00118,Snackify Diapers Pack,Baby Care,Diapers,Snackify,5,104.36,136.33
SKU00119,CleanPro Meat 1L,Frozen,Meat,CleanPro,18,51.23,79.79
SKU00120,DailyDairy Floor Cleaner 200ml,Home Care,Floor Cleaner,DailyDairy,18,50.52,90.85
SKU00121,Nestora Frozen Snacks 200ml,Frozen,Frozen Snacks,Nestora,18,78.71,112.32
SKU00122,CleanPro Rice 750ml,Groceries,Rice,CleanPro,5,86.3,121.5
SKU00123,FreshCo Shampoo 750ml,Personal Care,Shampoo,FreshCo,18,212.97,352.7
SKU00124,DailyDairy Energy Drink 100g,Beverages,Energy Drink,DailyDairy,12,65.96,99.35
SKU00125,UrbanLeaf Spices 200ml,Groceries,Spices,UrbanLeaf,5,65.61,91.63
SKU00126,Nestora Soft Drink 100g,Beverages,Soft Drink,Nestora,12,36.09,56.48
SKU00127,BabyBloom Namkeen 250g,Snacks,Namkeen,BabyBloom,12,77.85,132.73
SKU00128,CleanPro Detergent 1L,Home Care,Detergent,CleanPro,18,74.13,119.95
SKU00129,Nestora Biscuits 250g,Snacks,Biscuits,Nestora,12,70.33,97.2
SKU00130,FrostBite Ice Cream 100g,Frozen,Ice Cream,FrostBite,18,80.93,86.19
SKU00131,BabyBloom Dishwash 500g,Home Care,Dishwash,BabyBloom,18,99.31,174.93
SKU00132,FreshCo Cheese 200ml,Dairy,Cheese,FreshCo,5,157.3,213.68
SKU00133,Nestora Meat 750ml,Frozen,Meat,Nestora,18,53.05,85.33
SKU00134,CleanPro Pulses 1L,Groceries,Pulses,CleanPro,5,92.45,140.96
SKU00135,BabyBloom Paneer 200ml,Dairy,Paneer,BabyBloom,5,166.59,269.02
SKU00136,FrostBite Frozen Snacks 200ml,Frozen,Frozen Snacks,FrostBite,18,77.67,102.97
SKU00137,UrbanLeaf Energy Drink 500g,Beverages,Energy Drink,UrbanLeaf,12,167.77,231.2
SKU00138,UrbanLeaf Meat 2L,Frozen,Meat,UrbanLeaf,18,50.67,73.03
SKU00139,DailyDairy Edible Oil 1kg,Groceries,Edible Oil,DailyDairy,5,68.41,117.1
SKU00140,UrbanLeaf Rice 250g,Groceries,Rice,UrbanLeaf,5,65.49,95.71
SKU00141,FrostBite Butter 2L,Dairy,Butter,FrostBite,5,79.83,114.6
SKU00142,BabyBloom Rice 1L,Groceries,Rice,BabyBloom,5,140.82,233.46
SKU00143,Nestora Baby Food Pack,Baby Care,Baby Food,Nestora,5,55.3,73.34
SKU00144,BabyBloom Paneer 1kg,Dairy,Paneer,BabyBloom,5,37.33,53.23
SKU00145,CleanPro Butter 1kg,Dairy,Butter,CleanPro,5,163.81,254.39
SKU00146,DailyDairy Coffee 1L,Beverages,Coffee,DailyDairy,12,128.15,184.6
SKU00147,Snackify Baby Lotion 1kg,Baby Care,Baby Lotion,Snackify,5,20.74,32.75
SKU00148,Nestora Baby Food Combo,Baby Care,Baby Food,Nestora,5,98.1,155.08
SKU00149,HealthHub Detergent 200ml,Home Care,Detergent,HealthHub,18,184.09,244.42
SKU00150,CleanPro Namkeen Combo,Snacks,Namkeen,CleanPro,12,79.95,105.8
SKU00151,FrostBite Shampoo 500g,Personal Care,Shampoo,FrostBite,18,53.91,90.64
SKU00152,FreshCo Baby Food 1L,Baby Care,Baby Food,FreshCo,5,115.42,170.77
SKU00153,BabyBloom Baby Food 100g,Baby Care,Baby Food,BabyBloom,5,105.93,141.1
SKU-23421,FrostBite Baby Lotion 1kg,Baby Care,Baby Lotion,FrostBite,5,45.84,59.23
SKU00155,FreshCo Floor Cleaner Pack,Home Care,Floor Cleaner,FreshCo,18,51.41,76.11
SKU00156,FrostBite Pulses 1kg,Groceries,Pulses,FrostBite,5,57.01,97.67
SKU00157,Snackify Baby Food 1L,Baby Care,Baby Food,Snackify,5,50.69,69.08
SKU00158,HealthHub Detergent 1kg,Home Care,Detergent,HealthHub,18,16.16,29.04
SKU00159,CleanPro Deodorant 250g,Personal Care,Deodorant,CleanPro,18,20.69,26.1
SKU-02599,BabyBloom Deodorant 100g,Personal Care,Deodorant,BabyBloom,18,65.8,103.73
SKU00161,DailyDairy Cheese Pack,Dairy,Cheese,DailyDairy,5,104.12,170.19
SKU00162,Nestora Baby Lotion 200ml,Baby Care,Baby Lotion,Nestora,5,34.43,53.12
SKU00163,FrostBite Spices 750ml,Groceries,Spices,FrostBite,5,105.45,146.84
SKU00164,Snackify Coffee 250g,Beverages,Coffee,Snackify,12,75.1,106.95
SKU00165,FreshCo Frozen Snacks 250g,Frozen,Frozen Snacks,FreshCo,18,57.23,88.97
SKU00166,AquaFizz Pulses 750ml,Groceries,Pulses,AquaFizz,5,144.95,252.57
SKU00167,Nestora Curd 100g,Dairy,Curd,Nestora,5,223.73,331.31
SKU00168,FreshCo Juice 750ml,Beverages,Juice,FreshCo,12,77.1,111
SKU00169,FreshCo Meat 250g,Frozen,Meat,FreshCo,18,95.19,139.95
SKU00170,Nestora Frozen Snacks 100g,Frozen,Frozen Snacks,Nestora,18,68.09,122.54
SKU00171,CleanPro Milk 200ml,Dairy,Milk,CleanPro,5,137.37,191.85
SKU00172,Snackify Floor Cleaner 2L,Home Care,Floor Cleaner,Snackify,18,69.3,93.16
SKU00173,AquaFizz Biscuits 750ml,Snacks,Biscuits,AquaFizz,12,30.72,53.49
SKU00174,BabyBloom Spices 2L,Groceries,Spices,BabyBloom,5,25.38,33.48
SKU00175,Nestora Detergent 750ml,Home Care,Detergent,Nestora,18,48.27,82.62
SKU00176,UrbanLeaf Powder 100g,Baby Care,Powder,UrbanLeaf,5,32,51
SKU00177,BabyBloom Diapers 200ml,Baby Care,Diapers,BabyBloom,5,41.26,73.31
SKU-91746,Snackify Skin Care 250g,Personal Care,Skin Care,Snackify,18,49.7,70.81
SKU00179,CleanPro Juice 100g,Beverages,Juice,CleanPro,12,44.55,76.65
SKU00180,CleanPro Frozen Veg Pack,Frozen,Frozen Veg,CleanPro,18,93.65,121.57
SKU00181,UrbanLeaf Ice Cream 200ml,Frozen,Ice Cream,UrbanLeaf,18,39.89,67.03
SKU00182,BabyBloom Curd Pack,Dairy,Curd,BabyBloom,5,32.94,47.1
SKU00183,AquaFizz Freshener Pack,Home Care,Freshener,AquaFizz,18,22.75,34.2
SKU00184,BabyBloom Frozen Veg 1L,Frozen,Frozen Veg,BabyBloom,18,157.26,265.51
SKU00185,UrbanLeaf Detergent 250g,Home Care,Detergent,UrbanLeaf,18,64.11,102.52
SKU00186,DailyDairy Cheese 250g,Dairy,Cheese,DailyDairy,5,89.35,134.21
SKU00187,DailyDairy Energy Drink 500g,Beverages,Energy Drink,DailyDairy,12,94.75,133.69
SKU00188,Snackify Ready Meals 2L,Frozen,Ready Meals,Snackify,18,26.55,44.22
SKU00189,CleanPro Freshener 250g,Home Care,Freshener,CleanPro,18,71.67,107.95
SKU00190,CleanPro Spices Combo,Groceries,Spices,CleanPro,5,69.9,96.78
SKU00191,BabyBloom Biscuits 2L,Snacks,Biscuits,BabyBloom,12,27.04,39.63
SKU00192,CleanPro Detergent 1L,Home Care,Detergent,CleanPro,18,48.56,81.96
SKU00193,FrostBite Ready Meals 750ml,Frozen,Ready Meals,FrostBite,18,100.84,129.3
SKU00194,UrbanLeaf Tea 500g,Beverages,Tea,UrbanLeaf,12,125.01,178.42
SKU00195,HealthHub Ready Meals Pack,Frozen,Ready Meals,HealthHub,18,326.82,539.27
SKU00196,Snackify Rice 2L,Groceries,Rice,Snackify,5,240.35,381.43
SKU00197,DailyDairy Baby Lotion 1kg,Baby Care,Baby Lotion,DailyDairy,5,72.47,108.1
SKU00198,UrbanLeaf Dishwash 2L,Home Care,Dishwash,UrbanLeaf,18,80.48,107.49
SKU00199,FreshCo Butter 2L,Dairy,Butter,FreshCo,5,66.86,85.33
SKU00200,UrbanLeaf Rice 1L,Groceries,Rice,UrbanLeaf,5,43.77,64.37
SKU00201,UrbanLeaf Pulses 100g,Groceries,Pulses,UrbanLeaf,5,114.54,186.54
SKU00202,FreshCo Ice Cream 1kg,Frozen,Ice Cream,FreshCo,18,143.23,200.14
SKU00203,HealthHub Energy Drink 1L,Beverages,Energy Drink,HealthHub,12,48.25,84.25
SKU00204,DailyDairy Frozen Snacks Combo,Frozen,Frozen Snacks,DailyDairy,18,43.74,69.58
SKU00205,BabyBloom Rice 100g,Groceries,Rice,BabyBloom,5,51.6,77.42
SKU00206,AquaFizz Baby Food 1L,Baby Care,Baby Food,AquaFizz,5,15.24,25.38
SKU00207,DailyDairy Powder 2L,Baby Care,Powder,DailyDairy,5,83.17,117.67
SKU00208,Snackify Detergent 100g,Home Care,Detergent,Snackify,18,217.2,378.29
SKU00209,DailyDairy Rice Pack,Groceries,Rice,DailyDairy,5,75.8,110.07
SKU00210,CleanPro Ice Cream 1L,Frozen,Ice Cream,CleanPro,18,32.17,40.31
SKU00211,DailyDairy Frozen Snacks Pack,Frozen,Frozen Snacks,DailyDairy,18,75.8,135.55
SKU00212,Snackify Pulses 250g,Groceries,Pulses,Snackify,5,108.6,165.38
SKU00213,Nestora Frozen Veg 100g,Frozen,Frozen Veg,Nestora,18,61.97,108.26
SKU00214,FrostBite Curd 1L,Dairy,Curd,FrostBite,5,38.74,50.75
SKU00215,DailyDairy Coffee Pack,Beverages,Coffee,DailyDairy,12,73.14,99.47
SKU00216,CleanPro Floor Cleaner 1kg,Home Care,Floor Cleaner,CleanPro,18,68.02,103.12
SKU00217,UrbanLeaf Powder 1L,Baby Care,Powder,UrbanLeaf,5,85.24,148.53
SKU00218,Nestora Baby Lotion Combo,Baby Care,Baby Lotion,Unknown,5,126.18,164.11
SKU00219,Nestora Skin Care 1L,Personal Care,Skin Care,Nestora,18,40.61,62.79
SKU00220,UrbanLeaf Edible Oil 750ml,Groceries,Edible Oil,UrbanLeaf,5,62.91,104.87
SKU00221,UrbanLeaf Rice 750ml,Groceries,Rice,UrbanLeaf,5,78.67,115.23
SKU00222,FreshCo Baby Food 1kg,Baby Care,Baby Food,FreshCo,5,105.29,157.4
SKU00223,DailyDairy Toothpaste 200ml,Personal Care,Toothpaste,DailyDairy,18,73.62,129.83
SKU00224,CleanPro Diapers 750ml,Baby Care,Diapers,CleanPro,5,126.18,194.99
SKU00225,FrostBite Namkeen 200ml,Snacks,Namkeen,FrostBite,12,84.1,137.04
SKU00226,FreshCo Milk 100g,Dairy,Milk,FreshCo,5,23.15,37.51
SKU00227,Snackify Cheese 1kg,Dairy,Cheese,Snackify,5,172.32,300.44
SKU00228,AquaFizz Freshener 100g,Home Care,Freshener,AquaFizz,18,46.52,66.89
SKU00229,Nestora Ice Cream Pack,Frozen,Ice Cream,Nestora,18,142.26,220.64
SKU00230,BabyBloom Floor Cleaner Pack,Home Care,Floor Cleaner,Unknown,18,169.99,232.46
SKU00231,AquaFizz Floor Cleaner Pack,Home Care,Floor Cleaner,AquaFizz,18,42.33,60.66
SKU00232,DailyDairy Spices 750ml,Groceries,Spices,DailyDairy,5,24.75,42.12
SKU00233,Nestora Spices Pack,Groceries,Spices,Nestora,5,59.27,105.5
SKU00234,CleanPro Milk 1L,Dairy,Milk,CleanPro,5,49.74,71.15
SKU00235,AquaFizz Paneer 250g,Dairy,Paneer,AquaFizz,5,105.19,175.56
SKU00236,HealthHub Juice 500g,Beverages,Juice,HealthHub,12,11.58,17.9
SKU00237,CleanPro Juice 100g,Beverages,Juice,CleanPro,12,93.08,151.81
SKU00238,FreshCo Edible Oil 500g,Groceries,Edible Oil,FreshCo,5,45.42,65.93
SKU00239,FrostBite Detergent Pack,Home Care,Detergent,FrostBite,18,25.95,37.48
